Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
El Salvador,69198,,2124.0,,64876,,2198,31.0,326.0,914674.0,140429.0,6513428.0,2021-05-02 03:24:00+00:00
Luxembourg,67397,,797.0,,63661,,2939,34.0,1256.0,2673110.0,4213497.0,634416.0,2021-05-02 03:24:00+00:00
Thailand,67044,,224.0,,38075,,28745,829.0,3.0,8124896.0,116160.0,69945784.0,2021-05-02 03:24:00+00:00
Cyprus,65909,,312.0,,39061,,26536,75.0,257.0,4898791.0,4033042.0,1214664.0,2021-05-02 03:24:00+00:00
Singapore,61179,,31.0,,60765,,383,,5.0,9536636.0,1619514.0,5888578.0,2021-05-02 03:24:00+00:00
Afghanistan,60122,,2637.0,,53272,,4213,1124.0,67.0,404894.0,10211.0,39652974.0,2021-05-02 03:24:00+00:00
Namibia,48654,,643.0,,46238,,1773,37.0,249.0,388574.0,150668.0,2579003.0,2021-05-02 03:24:00+00:00
Botswana,46934,,712.0,,44960,,1262,1.0,298.0,999041.0,417850.0,2390908.0,2021-05-02 03:24:00+00:00
Ivory Coast,46114,,286.0,,45582,,246,,11.0,594288.0,22078.0,26917693.0,2021-05-02 03:24:00+00:00
Jamaica,45777,,779.0,,21153,,23845,22.0,262.0,332706.0,111950.0,2971920.0,2021-05-02 03:24:00+00:00
Uganda,41905,,342.0,,41422,,141,24.0,7.0,1017854.0,21688.0,46930713.0,2021-05-02 03:24:00+00:00
Senegal,40388,,1109.0,,39110,,169,11.0,65.0,481020.0,28117.0,17108079.0,2021-05-02 03:24:00+00:00
Zimbabwe,38260,,1568.0,,35620,,1072,12.0,104.0,417583.0,27761.0,15042299.0,2021-05-02 03:24:00+00:00
Madagascar,37296,,654.0,,32111,,4531,396.0,23.0,184336.0,6519.0,28278674.0,2021-05-02 03:24:00+00:00
Mongolia,37285,,115.0,,20681,,16489,119.0,35.0,2710815.0,816011.0,3322033.0,2021-05-02 03:24:00+00:00
Malawi,34095,,1148.0,,32064,,883,12.0,59.0,233149.0,11933.0,19537996.0,2021-05-02 03:24:00+00:00
Sudan,33104,,2349.0,,26795,,3960,,53.0,232965.0,5212.0,44695198.0,2021-05-02 03:24:00+00:00
Malta,30307,,415.0,,29622,,270,,938.0,869063.0,1963887.0,442522.0,2021-05-02 03:24:00+00:00
Maldives,30237,,73.0,,24934,,5230,90.0,133.0,729127.0,1329485.0,548428.0,2021-05-02 03:24:00+00:00
